epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,12591.2,0.88364,0.83751,1.39983,0.86203,0.84138,0.8826,0.67015,0.87922,0.66485,1.51065,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984
41,12902.6,0.87574,0.82423,1.39944,0.87595,0.84401,0.88121,0.67155,0.87645,0.66828,1.50989,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
42,13213.9,0.87374,0.82699,1.39717,0.8796,0.84418,0.88483,0.67293,0.87434,0.65078,1.50234,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844
43,13525.2,0.86813,0.81524,1.39237,0.87964,0.84543,0.88292,0.67113,0.8713,0.65072,1.49943,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
44,13837.2,0.86782,0.80484,1.38866,0.87146,0.84199,0.88528,0.67375,0.88095,0.64197,1.50716,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313
45,14149,0.86407,0.80355,1.38985,0.87225,0.84735,0.88508,0.67446,0.86517,0.63944,1.50064,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
46,14461.9,0.85889,0.79468,1.3844,0.88757,0.8387,0.887,0.67687,0.85811,0.63527,1.48671,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
47,14773.3,0.86267,0.801,1.38642,0.86854,0.85183,0.88571,0.68063,0.8514,0.63802,1.48405,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
48,15084.1,0.84968,0.7905,1.37813,0.8852,0.83659,0.88742,0.68099,0.85089,0.6262,1.48535,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117,0.0261335,0.00871117
49,15395.4,0.84841,0.78429,1.37843,0.88371,0.84796,0.88895,0.68489,0.85013,0.62836,1.47994,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
50,15706.7,0.83925,0.78017,1.36906,0.86953,0.85582,0.88643,0.68173,0.84978,0.62947,1.48119,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473,0.0258142,0.00860473
51,16019.3,0.8356,0.7746,1.36227,0.86954,0.84905,0.88639,0.6823,0.84251,0.63215,1.4711,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
52,16330.7,0.83922,0.78003,1.36174,0.88265,0.84666,0.88895,0.68632,0.83709,0.6251,1.46734,0.0254843,0.00849477,0.0254843,0.00849477,0.0254843,0.00849477,0.0254843,0.00849477
53,16641.6,0.8354,0.76349,1.36378,0.88384,0.84589,0.88888,0.68892,0.83157,0.62509,1.46171,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
54,16952.8,0.83087,0.75423,1.35915,0.86617,0.86326,0.89223,0.69238,0.83092,0.6168,1.46093,0.0251442,0.00838141,0.0251442,0.00838141,0.0251442,0.00838141,0.0251442,0.00838141
55,17264.3,0.82605,0.75469,1.35874,0.87917,0.84987,0.89163,0.69156,0.83258,0.61541,1.46089,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
56,17575,0.82451,0.75543,1.35494,0.866,0.86442,0.89309,0.6909,0.82861,0.61687,1.46268,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477,0.0247943,0.00826477
57,17886.8,0.82284,0.75059,1.35581,0.87209,0.85393,0.89146,0.69215,0.82386,0.61947,1.45763,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
58,18198.9,0.81091,0.75624,1.34645,0.86478,0.86386,0.89269,0.69449,0.82407,0.61377,1.45479,0.0244349,0.00814495,0.0244349,0.00814495,0.0244349,0.00814495,0.0244349,0.00814495
59,18509.8,0.82175,0.74261,1.35348,0.87535,0.85217,0.89045,0.69113,0.82703,0.61722,1.45707,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
60,18821.1,0.81359,0.73817,1.34001,0.87159,0.86019,0.89093,0.69523,0.8214,0.61475,1.45466,0.0240662,0.00802208,0.0240662,0.00802208,0.0240662,0.00802208,0.0240662,0.00802208
61,19132.5,0.80244,0.73381,1.33383,0.87491,0.86609,0.89087,0.69306,0.82068,0.61669,1.46069,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
62,19446.2,0.81503,0.74562,1.34705,0.88004,0.85834,0.89168,0.6936,0.81732,0.61236,1.45888,0.0236888,0.00789628,0.0236888,0.00789628,0.0236888,0.00789628,0.0236888,0.00789628
63,19757.6,0.80492,0.71724,1.34083,0.87769,0.85765,0.89365,0.696,0.81558,0.61046,1.45825,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
64,20069.8,0.79687,0.71558,1.32744,0.87184,0.85805,0.89259,0.69436,0.81433,0.6119,1.45636,0.023303,0.00776766,0.023303,0.00776766,0.023303,0.00776766,0.023303,0.00776766
65,20380.7,0.79908,0.71871,1.33048,0.87112,0.86465,0.8935,0.69521,0.81454,0.61074,1.45668,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
66,20692.7,0.79734,0.71346,1.33191,0.87168,0.8628,0.89387,0.69631,0.81113,0.61296,1.45183,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637
67,21004,0.79074,0.70695,1.32688,0.868,0.86852,0.8938,0.69723,0.81082,0.61478,1.454,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
68,21315.3,0.78455,0.70312,1.32172,0.86952,0.86691,0.89435,0.69941,0.80843,0.61293,1.45335,0.0225076,0.00750252,0.0225076,0.00750252,0.0225076,0.00750252,0.0225076,0.00750252
69,21626.5,0.78045,0.70568,1.3187,0.87592,0.86376,0.89528,0.70012,0.80297,0.61158,1.44922,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
70,21940.9,0.78326,0.69463,1.3136,0.88011,0.85687,0.89689,0.70243,0.80007,0.61145,1.44761,0.0220988,0.00736625,0.0220988,0.00736625,0.0220988,0.00736625,0.0220988,0.00736625
71,22254.6,0.7807,0.70071,1.3216,0.87066,0.86657,0.89472,0.70097,0.79696,0.61382,1.44505,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
72,22569,0.77419,0.69407,1.31713,0.8696,0.8695,0.89531,0.70108,0.7954,0.61206,1.44159,0.0216831,0.0072277,0.0216831,0.0072277,0.0216831,0.0072277,0.0216831,0.0072277
73,22884.1,0.77308,0.68234,1.31544,0.87049,0.87144,0.89566,0.70115,0.79509,0.61339,1.44178,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
74,23199.8,0.7824,0.6888,1.31368,0.86908,0.87652,0.89608,0.70291,0.79252,0.61361,1.43844,0.021261,0.007087,0.021261,0.007087,0.021261,0.007087,0.021261,0.007087
75,23513,0.76897,0.68455,1.30689,0.86691,0.87717,0.89759,0.70528,0.79065,0.61257,1.43461,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
76,23828.3,0.7573,0.67768,1.29968,0.86544,0.87406,0.89734,0.70581,0.78924,0.61245,1.43292,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428
77,24143.1,0.759,0.67252,1.30084,0.88502,0.85665,0.89862,0.7064,0.789,0.61067,1.43197,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
78,24459.1,0.75962,0.67211,1.29852,0.86678,0.87405,0.89937,0.70746,0.78878,0.60847,1.4316,0.0203991,0.0067997,0.0203991,0.0067997,0.0203991,0.0067997,0.0203991,0.0067997
79,24773.1,0.75304,0.66845,1.29058,0.86493,0.87801,0.89896,0.70656,0.78802,0.60853,1.43079,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
80,25087.7,0.75097,0.66097,1.29048,0.86701,0.88031,0.89847,0.70689,0.78753,0.60793,1.43006,0.0199602,0.00665339,0.0199602,0.00665339,0.0199602,0.00665339,0.0199602,0.00665339
